Job Title,Job Description,Platform,OnSite/Remote/Hybrid,Country,Salary Min,Salary Max,Candidates,Company,Selected_for_interview,Rejected,Hired,Started,Role_start_date,Candidate_start_date,Started Salary,Currency,Over_budget,Recruiter,Hiring Manager,Language required
Frontend Developer,"As a Frontend Developer, you will be responsible for creating user-facing features for web applications. You will work closely with UX/UI designers to implement modern designs and ensure a smooth user experience. Your main focus will be on writing clean and efficient code using technologies such as HTML, CSS, and JavaScript (React, Angular, or Vue). You should have a solid understanding of cross-browser compatibility, responsive design, and web performance optimization.",bestjobs.eu,Remote,Romania,4000,10000,55,Google,44,31,13,3,4/7/2024,7/25/2024,4021,RON,No,Andrei Dimov,Alexandru Borisov,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",LinkedIn,Remote,Romania,4500,9500,29,Microsoft,23,16,7,2,3/6/2024,4/23/2024,8381,RON,No,Alexandru Constantin,Alexandru Georgescu,English
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",Jobs.bg,Remote,Romania,4500,9500,16,Apple,13,9,4,1,4/6/2024,9/5/2024,6830,RON,No,Alexandru Constantin,Alexandru Georgescu,English
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",LinkedIn,Onsite,Romania,4500,9500,2,IBM,2,1,0,0,2/1/2024,7/3/2024,6013,RON,No,Alexandru Constantin,Alexandru Georgiev,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",LinkedIn,Onsite,Bulgaria,2500,6200,37,Amazon,30,21,9,2,1/11/2024,7/5/2024,3898,BGN,No,Alexandru Constantin,Alexandru Georgiev,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",bestjobs.eu,Hybrid,Romania,5000,10000,39,Cisco,31,22,9,2,3/20/2024,11/11/2024,7682,RON,No,Alexandru Georgescu,Alexandru Ionescu,English
Frontend Developer,"As a Frontend Developer, you will be responsible for creating user-facing features for web applications. You will work closely with UX/UI designers to implement modern designs and ensure a smooth user experience. Your main focus will be on writing clean and efficient code using technologies such as HTML, CSS, and JavaScript (React, Angular, or Vue). You should have a solid understanding of cross-browser compatibility, responsive design, and web performance optimization.",ejobs.ro,Hybrid,Romania,4000,10000,31,Oracle,25,17,7,2,4/10/2024,11/22/2024,6038,RON,No,Alexandru Ionescu,Alexandru Ionescu,English
Backend Developer,"The Backend Developer will be responsible for building and maintaining the server-side components of web applications. You will design and implement APIs, handle database interactions, and ensure high performance and scalability. Strong knowledge of backend languages such as Java, Python, Node.js, or Ruby, along with experience in working with databases (SQL or NoSQL), is essential for this role.",ejobs.ro,Onsite,Romania,4500,9500,69,Intel,55,39,17,4,3/24/2024,7/21/2024,6944,RON,No,Alexandru Kirov,Alexandru Ivanov,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",LinkedIn,Remote,Romania,5000,10000,36,SAP,29,20,9,2,12/28/2024,5/23/2025,6376,RON,No,Alexandru Kirov,Alexandru Ivanov,English
Backend Developer,"The Backend Developer will be responsible for building and maintaining the server-side components of web applications. You will design and implement APIs, handle database interactions, and ensure high performance and scalability. Strong knowledge of backend languages such as Java, Python, Node.js, or Ruby, along with experience in working with databases (SQL or NoSQL), is essential for this role.",Jobs.bg,Onsite,Romania,4500,9500,80,Adobe,64,45,19,5,9/23/2024,12/1/2024,5210,RON,No,Alexandru Kirov,Alexandru Ivanov,English
